text,sentiment
ninavaa kila siku na inashikilia vizuri sana,positive
iliyowekwa vizuri ikafika kwa wakati na inafanya kazi kama ilivyokusudiwa,positive
ni rahisi kutumia na kila mtu anaipenda,positive
ni rahisi kutumia na kila mtu anazipenda,positive
simu hii inafanya kazi vizuri,positive
bidhaa ilikuwa bora na inafanya kazi vizuri kuliko ya verizon na bei ilikuwa rahisi,positive
imetengenezwa kwa nguvu sana,positive
ilifanya vyema,positive
imefanya kazi nzuri,positive
bora nimepata hivi sasa nimejaribu bluu zingine 2 na hii ina ubora bora kwangu na msikilizaji na urahisi wa kutumia,positive
bei ilikuwa nzuri sana na kwa usafirishaji wa bure na yote yalikuwa ununuzi mzuri,positive
faida kamera nzuri picha nzuri sana pia ina mitindo mizuri kama nyeusi na nyeupe na zaidi,positive
ubora wa sauti kwenye mwisho wote ni bora,positive
ni vizuri sana kwenye sikio,positive
simu hii ni ndogo na nyepesi na onyesho ni nzuri,positive
nimefurahiya sana ununuzi wangu,positive
imekuwa mshindi kwetu,positive
sauti nzuri,positive
nimekuwa na bluu yangu kwa wiki chache lakini ninaipenda sana,positive
ni ndogo sana na haujui hata kuwa iko baada ya muda wa kuizoea,positive
kiliwekwa vizuri ili kuepusha uharibifu wowote,positive
ninapendekeza kabisa,positive
vitu vizuri sana kwa bei poa,positive
sikuwa na shida kuunganisha,positive
simu hii ni haraka sana na kutuma aina yoyote ya ujumbe na kuvinjari kwa wavuti ni haraka sana kuliko simu za zamani ambazo nimetumia,positive
bidhaa hii ni ya kupendeza na inafanya kazi kikamilifu,positive
na napenda rangi tu,positive
duka bora mkondoni,positive
mashaallah mtoto mzuri huyu,positive
matukio yalitufurahisha sisi,positive
tulifurahia matukio hao,positive
tulikuwa na furaha japo marehemu alikuwa rafiki yetu,positive
furaha ilitanda,positive
walifurahi walipoambiwa habari njema,positive
hio ni habari njema,positive
watoto wetu walifanya vyema,positive
wanafaa kutuzwa kutokana na juhudi zao za kupigania haki za kina mama,positive
rais alifurahi kuona timu ya nchi yake ikituzwa zawadi kemkem,positive
walifurahi tulipowaambia habari zenu,positive
nilifurahi waliponiambia twende nyumbani kwa baba,positive
babu anawapenda wajukuu wakee,positive
mawaidha yake yalitufaa sisi,positive
tulipita mtihani,positive
atafurahi kusikia mkee wake ni mjaa mzito,positive
dawa hiyo ime nifaa sana nimepata nafuu,positive
wachezaji wanapenda kufunga mabao,positive
alimpenda msichana yule wa kike sana,positive
kuna vitabu vingi vizuri huku maktabani,positive
kitabu hiki ni kizuri sana,positive
viazi vile vinaonekana,positive
kiazi kile kinaonekana,positive
tulipenda walivyo kuwa wakiimba,positive
huyo mtu ana nguvu nyingi sana,positive
mswada wapendekeza halmashauri mpya kusimamia sekta ya majani chai,positive
bado nawapenda wote,positive
bila shaka ni miongoni mwa wasanii wanaoibukia wanaoendelea kuvumisha jukwaa la muziki wa kumtukuza mungu kwa mitindo ya kizazi kipya inayoendelea kuchangamsha wengi,positive
kadhalika anajivunia kutunukiwa kipaji cha uigizaji,positive
ninaamini nina uwezo tosha kufanya vizuri katika muziki na kufikia upeo wa juu kama ilivyo kwa wanamuziki wengine wanaotunga nyimbo za kumtukuza mungu,positive
anahisi nyimbo hiyo itafanya vizuri kuliko zingine alizowahi tunga,positive
msanii bora wa kiume,positive
ya kuvutia,positive
inavutia sana,positive
lakini sio saa mbaya,positive
kibeng itabaki kuwa kileleni bila kelele hata wakifunga kibao,positive
upande wa uchukuzi wa mizigo uliimarika,positive
hiyo ni kazi nzuri,positive
swadakta kabisa kwa kazi nzuri,positive
shwari kabisa,positive
asante kwa kuepuka kifo na kuwaelimisha vijana wengine,positive
hongera,positive
ningependa kuipongeza serikali yetu ya kitaifa hasa wanajeshi wetu kwa juhudi zao katika kuleta amani eneo hili,positive
lamu ni shwari na salama kwa uwekezaji,positive
lamu ni pahala patulivu na lazima kila mmoja ajivunie kuwa hapa,positive
c naishi ngambo ya ethiopia na ninapendezwa na ngoma za platnumz,positive
hiyo ni kweli lakini ukiugeuza umaarufu huo wa wema na kuupeleka katika muktadha wa biashara na jinsi anavyokubalika hakuna anayemfikia wema,positive
wema ni brand inayouzika kirahisi,positive
kuandikwa mara kwa mara kwenye magazeti ya udaku ambapo mara nyingi si kwa kupenda yeye kumemfanya wema awe dhahabu inayotamaniwa kushikwa na kila mtu,positive
habari za wema hapa bongo5 zimekuwa zikipata hits kusomwa zaidi kuliko habari yoyote ya staa yoyote yule unayemjua hapa tanzania,positive
story za wema husomwa zaidi na kupata comments nyingi kuliko za wengine wote,positive
kama leo hii wema akisema aanzishe bidhaa yoyote inayowalenga vijana haitachukua muda kushika na kutafutwa kama njugu,positive
wema sepetu ni mwanamke mwenye ushawishi mkubwa,positive
wema ni show stopper kama akiingia ukumbini kwenye shughuli shughuli hiyo husimama kwa muda kutokana na watu kugeuka kutaka kumwangalia kwa uzuri zaidi wakati akielekea sehemu ya kukaa,positive
sauti yake yenye mamlaka na ubunifu hewani ulikifanya kipindi hicho kuwa maarufu kuliko vingine vya burudani katika radio hiyo inayomilikiwa na kampuni ya ipp,positive
si maarufu tu redioni bali pia ndiye mtangazaji wa tanzania mwenye mashabiki wengi zaidi kwenye mitandao ya kijamii,positive
nancy sumari ni msichana mrembo mpole na mcheshi,positive
ay ni msanii smart mbunifu risk taker na anayeijua biashara ya muziki,positive
fareed kubanda si rapper anayeheshimika tu kama mwandishi mkali wa mashairi bali pia anatambulika kwa kujihusisha kwake na shughuli za kijamii,positive
ndiye msanii wa kike tanzania anayeheshimika na mwenye mafanikio zaidi,positive
ni muigizaji wa kiume anayependwa zaidi kwa sasa na filamu zake zimekuwa kivutio kwa watu wengi wa kila rika,positive
ngoma hiyo ilipokelewa vizuri na mashabiki wa muziki na miongoni mwa nyimbo zilizopata downloads nyingi zaidi mtandaoni,positive
ni mcheshi mrembo na ambaye siku zote hupenda kuwapa moyo hata wale ambao uwezo wao ni mdogo,positive
ni msichana mrembo anayejiamini na machachari hewani huku akiwa na fanbase ya nguvu,positive
king majuto ni mchekeshaji bora zaidi nchini kuliko wachekeshaji wote,positive
Basi sipati kuwezeshwa haya ila na mwenye kukufuru.,negative
Thamani bora kabisa,positive
kubwa kwa utaya,positive
akiwa amefungwa kwa ajili ya mazungumzo ya muda unaozidi matatizo ya dakika 45,negative
paper size,positive
Ni lazima tufyoge kwenye plagi ili kunyoosha mstari wa kulia ili kupata kiasi kinachofaa cha sauti,negative
"unapowasiliana na watu 12 au mamia kadhaa, wazia furaha ya kutuma kila mmoja wao moja baada ya mwingine",negative
Na mkiwa na janaba basi ogeni.,positive
Kusema bila sababu natumia vibaya pesa zangu,negative
"Zinazo kwenda, kisha zikajificha,",negative
Na uzuri ulioje kuwa pamoja na watu hao!,positive
Alivutiwa sana alipokuwa akienda kutoka betri ya awali hadi betri iliyopanuka,positive
"Ikiwa wote wawili wangepasuliwa kwa meta tano tu, tulianza kuona tuli na kuvalishwa sauti kutoka kwenye sehemu ya kichwa",negative
Ingawa ni sifa nzuri sana,positive
umbo la sikio ni la ajabu sana kwa kuwa kisehemu cha sikio hakistareheshi hata kidogo,negative
inapendekezwa sana kwa yeyote aliye na simu ya buluu ya meno,positive
"Na kumbusha, isije nafsi ikaangamizwa.",negative
kwa uzuri sana,positive
ni kazi kubwa,positive
linabonyeza kwa njia inayokufanya ujiulize ni kwa muda gani kifaa hicho kingedumu,negative
Nilikwenda kwenye tovuti ya burolas na kufuata mielekezo yote lakini sikuweza kuipata tena kuwa na wenzi wawili,negative
Nilinunua hii ili nitumie na moto wangu wa kuwasha na nikaupenda kabisa,positive
Matangazo ya biashara ni yenye kupotosha zaidi,negative
Bado sijatumia betri hii mpya chini ya baa mbili na ambayo siku tatu hailipizi malipo,positive
Nilinunua kwa ajili ya mama yangu naye alikuwa na tatizo la betri,negative
simu nyingi za mkononi,positive
Ukiwa umemiliki simu hii kwa miezi 7 sasa na unaweza kusema kwamba simu yake bora zaidi ya mkononi ilikuwa nayo,positive
Sikufikiri kwamba maagizo yaliyotolewa yalinisaidia,negative
Watu wangeweza kunisikia nikiongea na nililazimika kutoa simu ya mkononi na kuongea kupitia simu,negative
paper size,negative
Hii ni simu sahili ya kutumia lakini mapumziko hayakubaliki,negative
Bidhaa hii inafaa kwa watu kama mimi ambao masikio yao yanaathiriwa sana,positive
Gari linalosonga kwa mwendo wa kasi haliwezekani,negative
Nina miaka miwili zaidi katika mkataba huu na ninaichukia simu hii,negative
Mtoza - gari na vilevile kifaa cha kutoza maji hutiwa ndani ili kuhakikisha kwamba hutoi maji ya matunda yanayopendekezwa,positive
Unahitaji angalau min 3 ili upate kitabu chako cha simu kuanzia unapofungua kwa mara ya kwanza maisha ya simu ni mafupi,negative
Imeendelea vizuri sana,positive
Kutozungumza vizuri wakati unapofanya mazoezi,negative
kesi hiyo ni kubwa na inafanya kazi vizuri kwa wale 680,positive
Bidhaa isiyo na thamani,negative
lina kamera kubwa ambayo inapiga picha mbili na picha ni nzuri na nyangavu kwa picha nzuri,positive
Mimi sikuvutiwa na bidhaa hiyo,negative
kitambaa kizuri cha kichwani kilichopunguzwa bei sawasawa,positive
Nasikia tu takataka kwa sauti,negative
Unao babua ngozi ya kichwa!,positive
lina mambo yote ninayotaka,positive
Ni nani mwenye akili timamu anayenunua betri hii?,negative
baada ya kubishana na verizon kuhusu simu zilizoangushwa tulirudisha simu baada ya siku mbili,negative
Mfano huu umetayarishwa vizuri,positive
Kukatishwa tamaa na betri,negative
si kwa sauti ya kutosha na haugeuki kama inavyopaswa,negative
Ulinzi mzuri na haupigi simu kwa wingi sana,positive
kibodi inayoweza kutumiwa huifanya piano kuwa mashine muhimu badala ya kifaa nadhifu,positive
simu hii ni imara sana na haijawahi kamwe kuwa na matatizo makubwa nayo,positive
Napenda kitu hiki,positive
Kila kitu kinachoihusu ni kizuri na cha kiasi kwa bei ya chini,positive
Alivunjika moyo sana,negative
Hata niliiangusha simu hii ndani ya kijito na kuizamisha kwa sekunde 15 na bado inafanya kazi kubwa,positive
Nimefurahishwa sana na wale 510 na sikuwa na malalamiko yoyote kutoka kwa yeyote kuhusu ubora wangu wa sauti mwishoni mwao,positive
vidude vya kuendelea na kuondoka ni vibaya,negative
Unaweza hasa kusahau vitu vidogo - vidogo vinavyotegemeza teknolojia,negative
Ninapendekeza alama hizo kwa kuwa huonekana kuwa nzuri na yenye ubaridi,positive
hedifoni hizi zilikuwa ugunduzi mkubwa na na nafikiri labda ndizo kitu bora zaidi kilichonunuliwa katika miaka kadhaa iliyopita kwa uzito,positive
Nunua simu tofauti lakini si hii,negative
ni lazima ushike simu kwa pembe hususa ili yule mwingine akusikie vizuri,negative
hasara moja kubwa ya mchezaji huyo ni kwamba vidude vilivyo kwenye simu za mkononi hukuwezesha kutua na kucheza nyimbo baada ya sekunde chache,negative
juma moja baadaye baada ya mimi kuichochea ilikufa ghafula,negative
yeye hujihisi mwenye starehe kuliko vichwa vingi kwa sababu mimi huvaa miwani na nyakati nyingine huvaa miwani.,positive
kubwa kwa ajili ya pipodi pia,positive
Kifaa hiki ni kikubwa katika hali kadhaa1,positive
si rahisi kufanya kazi,negative
Hata katika mfululizo wangu wa makala 3 ambao ni kimya kabisa ni vigumu kusikia yale ambayo yule mtu mwingine anasema,negative
Chaguo kuu,positive
stesheni nzuri ya bandari kwa ajili ya nyumba au kazi,positive
hii ni simu nzuri,positive
Penda bidhaa hii,positive
Usinunue nguo za d807 zilizotangazwa kimakosa kwa ajili ya d807,negative
Hicho ni kitu kidogo kikubwa,positive
Naipenda simu hii kuwa yenye mafaa sana na ina mambo mengi,positive
Nilinunua hiki na ndani ya siku 2 hakikuwa kikifanya kazi tena,negative
Ninakivaa kila siku na kukishikilia vizuri sana,positive
Si bei ghali,negative
kilifungwa vizuri kwa wakati na kazi kama zilivyokusudiwa,positive
betri yaanza kupungua haraka,negative
kitu hiki kilifanya kazi kubwa lakini kikavunjika baada ya miezi 6 ya kutumiwa,negative
vichwa ni rahisi kuvitumia na kila mtu anawapenda,positive
simu hii ina matokeo mazuri,positive
ujenzi wa vichwa vya vichwa ni wa hali ya chini,negative
Bidhaa ilikuwa bora na bora kuliko ile ya verizon moja na mvulana ilikuwa bei nafuu,positive
simu huwa na vitu vingi sana,positive
kwa ajili ya bidhaa inayogharimu kama hii inavyotazamiwa kufanya kazi vizuri zaidi na kwa urahisi zaidi kuliko ilivyo kwa jambo hili,negative
"Mwenye kutua, akatulia,",positive
alifanya kazi kwa bidii,positive
sikio onji hucheza muziki katika sikio moja tu,negative
Usipoteze pesa zako,negative
Wanazungushiwa kikombe chenye kinywaji cha chemchem,positive
ukipanga kutumia hili katika gari lasahau hilo,negative
Imepata bidhaa hii kuwa kubwa mno,negative
Kitu bora zaidi kilichopatikana kufikia sasa kilijaribu viyoto vingine 2 vya buluu na hiki kina ubora bora zaidi kwangu na kwa msikilizaji na pia kwa urahisi wa kutumia,positive
nikiwa nimekatishwa tamaa sana na uamuzi wangu,negative
Imeunganishwa pamoja na simu ya gari aina ya razr,positive
Mnunuzi hutahadharisha kwamba ungeweza kuvuta fedha chooni,negative
Bila shaka bei ni nafuu,positive
bei ilikuwa nzuri sana na kwa meli zilizo huru na vyote vilikuwa ununuzi mzuri,positive
Nilipokea gari langu lililodhaniwa kuwa jipya 375 na inaonekana kwamba hakukuwa na kiberiti kati ya simu na mtunzi,negative
Kamera maridadi pia zina mitindo yenye ubaridi kama vile nyeusi na nyeupe na zaidi,positive
kwamba kuna kasoro kubwa ya ubuni isipokuwa tu usiitumie ifaavyo ambayo sifikiri hivyo ndivyo ilivyo,negative
Naipenda kichwa changu 350 na kuweka kichwa changu cha rangi ya buluu ya jastra350 ni kizuri sana na kidokezo cha sikio ni kitu cha kustarehesha,positive
kamera hiyo ingawa inakadiriwa kuwa ina kamera yenye kuvutia sana ya megaksi 13 hutoa picha zinazoanguka sana chini ya matazamio ya azimio hilo la juu kwa kulinganishwa,negative
ipurkated hii kwa ajili ya msimamizi wa gari na haifaulu,negative
Ubora wa sauti kwa pande zote mbili ni bora kabisa kwangu kutumia kichwa kuniita mke wangu na kumwomba mke wangu atumie vichwa ili kuniita 2,positive
simu hii ni nyembamba na nyepesi na inavutia,positive
yake kidogo lakini nafikiri kwamba ngono yake yazunguka - zunguka juu ya mkate mzito na kuisukuma kwa mawe na kufanya ngono hadi kwenye betri yake ikiwa na sanduku la ngozi la mtindo wa kimtindo,positive
meli kubwa ya kusafirisha bidhaa haraka,positive
ni mkuu kabisa,positive
kibodi ni uridhiano mzuri kati ya nambari kamili ya simu ya mkononi na nambari ya msingi ya simu ya mkononi,positive
Nilifikia simu hii mwishoni mwa hali yangu na kukosa furaha kabisa nayo,negative
Hakika huo utafungiwa nao,positive
Bila ya shaka hii ni haki yetu.,positive
Mitumbwi imekuwa sahili zaidi,positive
Imejaribiwa vidole kadhaa vya masikio kwa simu yangu ya mkononi na hiki jastra ni chombo cha kwanza kilichopatikana ambacho hutoshea sikio langu vizuri,positive
hakuweza kupata ishara za kutosha,negative
iam ilipendezwa sana na ununuzi wangu,positive
sifa mbaya,negative
hufanya kazi hiyo,positive
sauti kubwa,positive
Kwa msingi utumishi ulikuwa mbaya sana,negative
haikufanya kazi katika plagi ya simu yangu ya mkononi ni kama imewekwa na msimamizi,negative
Kwa muda wa majuma machache tu nilikuwa na rangi ya buluu lakini ninaipenda sana,positive
kichwa cha bt kilikuwa kipingamizi kama hicho,negative
Ni mdogo sana na hata hung'amui kwamba upo baada ya muda wa kuzoea jambo hilo,positive
Programu inayoambatana nayo ni nyangavu sana,positive
Vifaa vya kufunika kichwa vilipakiwa vizuri ili kuepuka madhara yoyote,positive
i definlypendekeza,positive
Mnunuzi mwangalifu sana,negative
mengi ya vichwa vya keartewbud yalishindwa kufanya kazi,negative
Vitu vizuri sana kwa bei,positive
kichwa changu hufanyia kazi pichrykeen tu,positive
ndani ya nyumba yangu nilikuwa nikiangusha magazeti kwenye orofa ya juu bila ya kuweka habari zozote katika chumba changu cha chini ya ardhi,negative
sauti inatambuliwa sana,positive
Unao babua ngozi ya kichwa!,negative
katika dakika kadhaa tofauti - tofauti za simu i walipiga hizo mara 5 na ilikuwa katika eneo lenye baa 5,negative
mimi sikufurahishwa na habari hii,negative
Alivunjika moyo sana,negative
simu huchukua muda wa saa 2 hadi 5 kwa halisi,negative
Nilifikia simu hii kwa kupigiwa upya kutoka kwa mtu wa ukoo na kwa furaha ilikuja,positive
Huu ndio ufikisho!,negative
Karamu yake ni maskini sana,negative
Vitu vinavyotajwa katika ufafanuzi huo havitiwi ndani,negative
baada ya miezi 3 kiwambo cha video kiliacha kuwa cheusi kwa ghafula,negative
Mimi nilikuwa na matumaini ya kupata zaidi,negative
Ubora wa sauti ni mbaya sana,negative
Sikuwa na tatizo lolote na kichwa hiki kilichounganisha mpindo wangu wa blackberry 8530,positive
Ninajua hilo laonekana kuwa jambo la kuchekesha lakini kwangu lilionekana kama tekinolojia ya michoro ambayo ingefanya kazi vizuri sana huyu ni maarufu,positive
Alinunua vidude 5 vya kuchezea vyenye nyaya vinavyosikika vizuri kuliko vile vinavyosikika,negative
Simu hii ni ya haraka sana kwa kutuma ujumbe wa aina yoyote na kupitia mtandao ni ya haraka zaidi kuliko simu za awali ambazo nimetumia,positive
Sifa nzuri hujenga tofauti na zile za bei ya chini huko,positive
kitu hiki ni kizuri ajabu na kinafanya kazi kikamilifu,positive
"Na rangi zilizo jaa,",positive
w810i ni nzuri sana,positive
Yote ninayoweza kufanya ni sawa kwenye mtandao wa intaneti kwa hiyo hapa ni sawa kutumia kitu kidogo kama hiki,negative
Mwendeshaji mkuu,positive
Kwa msingi huu ni chombo cha mawasiliano kisichowasiliana,negative
hufanya kazi kama kitu cha kuvutia kama ile ambayo mimi alipata kwa simu,positive
Bado ninasisitiza kwamba tumbili hutengeneza vidude vya kusikiliza sauti ambavyo kwa wazi hatushirikina vya kutosha kuiga ubuni huo kwa wanadamu,negative
thamani kubwa,positive
inafanya kazi ya kui bougth kwa ajili ya l7c wangu na kile kisichofanya kazi,negative
sehemu yake ya ndani ni yenye ncha kali sana na kiwambo ni kizuri na wazi kwa picha nyingi,positive
haidumu kwa muda mrefu,negative
Jambo moja ambalo ninachukia ni namna ya kifungo cha kando,negative
Utumishi bora kabisa,positive
Asanteni kwa kupoteza pesa zangu,negative
Ni jinsi gani ubora huo wa sauti ulivyo duni,negative
Wasimamizi wa igo na madokezo ni makubwa sana,positive
kikanyagio cha faili chatoa chaguo lote ambalo mtu ahitaji bila malipo ni kubwa,positive
Simu ya mkononi kwenye mtandao mkubwa,positive
Iliunganisha mke wangu bluetothmotorola h850 kwa simu yangu na ilikuwa kama hirizi kama simu ilikuwa mfukoni mwangu au kwenye kisanduku cha kesi,positive
Naweka okski za karibuni zaidi juu yake v115g na sasa hupenda kupunguza mwendo wa kutambaa na kufunga kila mara kwa muda,negative
anaitambua tu simu kuwa kifaa chake cha kuhifadhi,negative
Ikiwa unapenda kelele kubwa ili kushinda mazungumzo yako yote basi simu hii ni yako,negative
Usinunue bidhaa hii,negative
Kituo hicho kilikuwa na kichwa cha rangi ya bluu natoothi kwa muda fulani sasa na bado hakistareheshwi na jinsi kinavyotoshea sikioni,negative
ubora wa sauti ni mzuri na hufanya kazi ni wenye kutisha,positive
Nina simu hii na ni mwiba upande wangu na huuchukia sana,negative
Hivi majuzi nilikuwa na matatizo mahali ambapo singeweza kukaa tukiunganishwa kwa zaidi ya dakika 10 kabla ya kutenganishwa,negative
la kustaajabisha,positive
Kasoro ya ubuni,negative
simu ya juu,positive
Haki za paa 13,negative
"lakini ninapoangalia ujumbe wakati wa usiku, taa ya ufunguo ya nyuma hugeuka sekunde chache kuingia katika ujumbe wa kwanza kisha ipoteze fahamu",negative
mtu mwingine alikufa baada ya majuma machache,negative
simu nzuri za mkononi za kununua,positive
Hivi karibuni wamekuwa wazuri sana na wenye kusaidia kwenye simu,positive
Nimekuwa na matatizo ya akili kupoteza ishara za mwili na nyingine zaidi,negative
haikuvutia,negative
Uzito mwepesi hauwezi kuonekana huko,positive
Mwanasesere anapenda jinsi alivyo mwembamba,positive
Uamuzi mbaya,negative
ile kesi ya dethed haifai,negative
Simu zisizofaa ni za viziwi tu,negative
rangi hiyo ni maridadi kuliko nilivyofikiri na picha zake ni kali sana,positive
Zote nafikiri zilikuwa kitega - uchumi kizuri,positive
Huvuma kwa njia ya ajabu sana kabla hajamaliza mlio,negative
Kifaa bora zaidi cha elektroni cha transm,positive
betri hudumu kwa muda wa saa chache tu,negative
"mwenye kichwa kikubwa alivutiwa sana na h,500",positive
kamera kubwa mno 12 ya pixel ikiwa sehemu ya simu kwa kiasi cha kutosha ni pamoja na7,positive
Nilikuwa na kazi hiyo kwa karibu miaka 2 na imenisaidia sana,positive
kaseti za kupitisha habari,positive
Hakika Sisi ndio wenye kutuma.,negative
Sikujishughulisha na kuwasiliana na kampuni hiyo kwa bei ya dola chache lakini mimi nilipata somo la kwamba mimi nisingalipaswa kununua fomu hii mtandaoni hata hivyo,negative
ukichukia vibano vya masikio huepuka simu hii kwa vyovyote,negative
Bei kubwa pia,positive
safu ni nzuri sana kuweza kutembea - tembea nyumbani kwangu kwa simu katika sebule bila masuala ya ubora wa hali ya juu,positive
Utumishi wa haraka,positive
Laiti ungependekeza sana jambo hili,positive
Ningependekeza jambo hili,positive
Pia sikupenda kile kifungo kilichobaki kana kwamba kingepasuka kwa utumizi,negative
simu mbaya zaidi kuwahi kupigwa,negative
bado anapumbazwa na simu hii,positive
mganda mara nyingi4,negative
aina yake ya aibu kutumia kwa sababu ya sura yake na hasa aibu yake kwa jinsi kampuni hiyo ilivyo kama mtoto,negative
nyepesi na nzito,positive
Yote kwa ujumla yalitazamia uzoefu bora zaidi wa ununuzi kutoka kwa motaola,negative
sauti ya kupe yenye kuogofya katika mandhari - nyuma kwenye milio yangu yote ambayo sijawahi kuiona,negative
Hakika hii bila ya shaka ni haki ya kupambanua.,positive
Kwa kawaida sipendi kufunga kichwa lakini huu ni mwepesi sana hauharibu nywele zangu,positive
anavunjika moyo kidogo,negative
Nimekuwa na simu hii kwa zaidi ya mwaka mmoja sasa na ninakuambia hiyo si kubwa hivyo,negative
Niliagiza hii kwa ajili ya sory ericsson w810i lakini nafikiri ilifanya kazi mara moja tu nilipoitumia mara ya kwanza,negative
betri haina thamani yoyote kwangu,negative
Huu ndio ufikisho!,negative
Usiupotezee huu,negative
Sauti kubwa na utumishi,positive
sasa nimependezwa sana na bidhaa hiyo,positive
moja kati ya vitu ninavyopenda zaidi,positive
Kivutio kizuri zaidi cha buluu sokoni,positive
Ngozi halisi yenye mng'aro na faraja nzuri inakupendekeza kisa hiki,positive
Nilisisimuka sana kupata kichwa hiki kwa sababu nilifikiri kilikuwa chenye kuvutia kweli kweli,positive
Usifanye kosa kama langu,negative
Kukatishwa tamaa sana kwa kutumia kalenda,negative
simu haikuweza kuzimwa na haikuwa mpya,negative
Huduma mbaya zaidi ya mteja wakati wowote,negative
Mabuku ya masikio hayakutoa tena maagizo yoyote,negative
Unababua ngozi iwe nyeusi.,negative
thamani ya kila sarafu,positive
Kisa bora kabisa cha simu ya mkononi,positive
Vyeo vizuri vya sauti kwa bei na vinafanya kazi nyingi,positive
Mtandao wa intaneti ni wa polepole sana,negative
Inastarehesha sana kuvaa vizuri na labda ndiyo sehemu ya maana zaidi kuhusu kutumia kisa fulani,positive
Linapatana na glove na ni lenye nguvu na lenye kudumu,positive
ondoe simu yangu ya mkononi iliyo bora zaidi ambayo tumepata kuwa nayo,positive
Ni yenye kuvutia sana na huonekana kuwa bora,positive
Ninawashukuru kwa mambo yote na umbo lake,positive
Bidhaa hiyo ilikuwa na harufu kali ya mpira wa mpira wa rangi ambayo haikuvumilika baada ya muda fulani na ikanifanya niirudishe,negative
Sifa mbaya na utumishi,negative
waya huonekana mwembamba sana na dhaifu sana hivi kwamba inatisha,negative
Sakafu kubwa ya sikio,positive
Kifaa bora kabisa cha mkononi bila malipo,positive
kwa kutumia stirio ya nyumbani kwako,positive
bidhaa yenye thamani ya ajabu,positive
mwezi mmoja tu ulikuwa na kazi yake lakini bila dosari yoyote kufikia sasa,positive
ni kazi kubwa,positive
follow foot,negative
kwamba ama yule aliyeshindwa kufanya kazi ama,negative
Maisha ya betri ni mazuri sana,positive
Nilirudi muda wa saa 8 baadaye,negative
Ambaye hutoa mali yake kwa ajili ya kujitakasa.,positive
Usipoteze pesa zako,negative
Penda kichwa hiki,positive
Si kwamba tu itaondoa hewa mwilini mwako bali pia huenda ikaihifadhi,negative
alifanya kazi kikamilifu,positive
Kutotegemeka kwa kukata tamaa,negative
Imetoa nyota 5 kwa sababu ya ubora wa sauti,positive
◯ ◯ ◯ ◯ ◯ ◯ ◯,negative
Plagi inayoweza kurekebishwa huwa na matokeo makubwa,positive
Na nitumie kifaa hiki kidogo cha sikio kupoteza pesa zangu,negative
simu nzuri sana,positive
Jambo bora zaidi ni sehemu inayozunguka ambayo inasaidia sana,positive
faraja kwa familia yetu yote,positive
bidhaa nzuri ya kuuzwa,positive
Ninaipenda rangi hii ya bluu,positive
ya kwanza kabisa haivai vizuri,negative
Nimevutiwa sana na kichwa hiki kilichowekwa kutoka kwa wataalamu wa elimu ya mimea,positive
Niliipata kwa sababu ilikuwa ndogo sana na yenye kupendeza,positive
simu ya juu,positive
int alipendekeza kununua bidhaa hii,negative
sehemu ya takataka,negative
Bafu la jicho lisilo na kasoro,negative
Kitu hiki ni kikubwa na kiachi kitumiwe kupita kiasi na kimekuwa kikitenda mema kila wakati bila matatizo yoyote,positive
simu ya juu,positive
Usiinunue,negative
paper size,positive
Usinunue simu hii,negative
Na alama nyengine. Na kwa wenye kukataza mabaya.,positive
Hii ni simu bora zaidi iliyowahi kupatikana,positive
hufanya kazi vizuri wakati paka wangu alipoishambulia simu aliyoikuna kwenye ukanda wa ulinzi badala ya kuharibu kiwambo,positive
"haya ni ya kazi, nayo ya bei nafuu",positive
Utumizi wa wateja ulikuwa mbaya sana,negative
Maisha ya betri bado si marefu vya kutosha katika nyembe za marola v3i,negative
Uirudishe.,negative
Sasa najua kwamba nilifanya uamuzi wenye hekima,positive
Mtu fulani alivumbua hili mapema zaidi,positive
Bei nzuri,positive
kila kitu kilichotumiwa katika jaribio la kwanza bila shaka kiliundwa kwa njia ya werevu na ujenzi uhisi vizuri,positive
Kilipokewa kwa haraka na kwa matokeo mazuri,positive
Hakika yeye ni mwenye bahati kubwa.,positive
Watu wengi walipolalamika kwamba mimi alipata maikrofoni hii ya vichwa vikuu kuwa dhaifu sana,negative
nokia 2160 mwenye umri wa miaka mitano kutoka tracfene anashikilia shtaka hilo vizuri kuliko hili,negative
hawajali mnunuzi hata kidogo,negative
Hii ni betri nzuri na ilipata hapa kwa kasi sana,positive
kitabu cha maagizo hakipo,negative
Pia ni mwembamba vya kutosha kutoshea ndani ya kituo changu cha kuweka kengele bila kuondoa hiyo kesi,positive
Sasa simu hubeba mashtaka kama ilivyofanya ilipokuwa mpya,positive
betri haitegemeki na vilevile huduma zinazotumika kwa kuchana,negative
hali yake isiyostarehesha na sauti ni mbaya sana ikilinganishwa na razr ya simu au na kichwa changu cha nyuma kilichounganishwa kwa waya ambacho kimeunganishwa na sing'aa,negative
Tumesifu sana jambo hilo,positive
hii ni lazima iwe ni hii ikiwa serikali yako hairuhusu matumizi ya simu za mkononi unapoendesha gari,positive
Nataka pesa zangu zirudi,negative
Thamini kifaa hiki,positive
Pia nina furaha sana kwa bei,positive
Niliagiza bidhaa hii kwanza na kukosa furaha nayo mara moja,negative
Ng'ombe bado hawana masikio,negative
Niliweza kupiga mayowe ndani ya gari bila tatizo lolote,positive
